name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
ATM_exon1	20	1.1667	0.0679	1.1459	1.0893	1.3477	1.1459	0.0679
ATM_exon10	20	1.1011	0.0653	1.0795	1.0215	1.2674	1.0795	0.0653
ATM_exon11	20	1.0128	0.0617	0.9972	0.9348	1.1798	0.9972	0.0617
ATM_exon12	20	0.7894	0.0632	0.7806	0.7105	0.948	0.7806	0.0632
ATM_exon13	20	0.9946	0.0559	0.9797	0.8869	1.1514	0.9797	0.0559
ATM_exon14	20	1.1187	0.0692	1.1185	1.034	1.2722	1.1185	0.0692
ATM_exon15	20	1.2306	0.0683	1.239	1.1201	1.3914	1.239	0.0683
ATM_exon16	20	1.0363	0.0597	1.0334	0.9265	1.1619	1.0334	0.0597
ATM_exon17	20	0.9551	0.0671	0.937	0.8896	1.1187	0.937	0.0671
ATM_exon18	20	1.1443	0.0824	1.1146	1.0477	1.367	1.1146	0.0824
ATM_exon19	20	1.0365	0.0704	1.0245	0.9231	1.1792	1.0245	0.0704
ATM_exon2	20	0.882	0.0548	0.8674	0.8091	1.0666	0.8674	0.0548
ATM_exon20	20	1.2239	0.0638	1.2113	1.1382	1.3713	1.2113	0.0638
ATM_exon21	20	1.2411	0.0724	1.2342	1.0825	1.426	1.2342	0.0724
ATM_exon22	20	0.7979	0.0575	0.7946	0.7029	0.9268	0.7946	0.0575
ATM_exon23	20	0.8499	0.0801	0.8375	0.7305	1.0414	0.8375	0.0801
ATM_exon24	20	0.9644	0.0531	0.9555	0.889	1.0962	0.9555	0.0531
ATM_exon25	20	0.9808	0.0489	0.976	0.9144	1.0954	0.976	0.0489
ATM_exon26	20	0.7507	0.0523	0.749	0.685	0.9007	0.749	0.0523
ATM_exon27	20	0.9661	0.0607	0.9617	0.8909	1.1506	0.9617	0.0607
ATM_exon28	20	1.0548	0.0572	1.0544	0.9648	1.1979	1.0544	0.0572
ATM_exon29	20	0.8673	0.062	0.8615	0.7567	1.0037	0.8615	0.062
ATM_exon3	20	1.2772	0.074	1.275	1.1431	1.5004	1.275	0.074
ATM_exon30	20	1.0045	0.0531	0.9932	0.929	1.1416	0.9932	0.0531
ATM_exon31	20	0.9689	0.0479	0.9702	0.8777	1.0955	0.9702	0.0479
ATM_exon32	20	1.1709	0.053900000000000003	1.1641	1.0748	1.3132	1.1641	0.053900000000000003
ATM_exon33	20	1.0478	0.0481	1.0434	0.9765	1.1764	1.0434	0.0481
ATM_exon34	20	1.1418	0.0578	1.1388	1.0183	1.3048	1.1388	0.0578
ATM_exon35	20	0.928	0.0524	0.918	0.8729	1.0884	0.918	0.0524
ATM_exon36	20	1.2331	0.068	1.2264	1.1269	1.4164	1.2264	0.068
ATM_exon37	20	0.8146	0.037	0.8009	0.783	0.9398	0.8009	0.037
ATM_exon38	20	0.9871	0.0545	0.9735	0.925	1.093	0.9735	0.0545
ATM_exon39	20	1.2569	0.0602	1.2392	1.1722	1.4613	1.2392	0.0602
ATM_exon4	20	0.853	0.0593	0.8405	0.7765	0.9945	0.8405	0.0593
ATM_exon40	20	0.8067	0.0582	0.79990000000000006	0.7323	0.9389	0.79990000000000006	0.0582
ATM_exon41	20	0.8007	0.0508	0.789	0.7405	0.9487	0.789	0.0508
ATM_exon42	20	0.8076	0.0509	0.8003	0.737	0.9516	0.8003	0.0509
ATM_exon43	20	0.8081	0.0451	0.7966	0.7597	0.9393	0.7966	0.0451
ATM_exon44	20	0.9575	0.061	0.9522	0.8847	1.1516	0.9522	0.061
ATM_exon45	20	1.0574	0.0466	1.0558	0.9877	1.1849	1.0558	0.0466
ATM_exon46	20	1.0729	0.0681	1.061	0.9885	1.2973	1.061	0.0681
ATM_exon47	20	0.961	0.0471	0.9489	0.8984	1.0825	0.9489	0.0471
ATM_exon48	20	0.8752	0.0422	0.8674	0.8006	0.9722	0.8674	0.0422
ATM_exon49	20	1.0326	0.0576	1.0377	0.9234	1.2027	1.0377	0.0576
ATM_exon5	20	1.0093	0.0672	0.9896	0.9415	1.2017	0.9896	0.0672
ATM_exon50	20	1.0393	0.0555	1.0286	0.9527	1.2049	1.0286	0.0555
ATM_exon51	20	1.1567	0.0506	1.1499	1.0474	1.2919	1.1499	0.0506
ATM_exon52	20	1.0909	0.0749	1.0649	0.9928	1.2971	1.0649	0.0749
ATM_exon53	20	1.127	0.0592	1.1247	1.0346	1.2974	1.1247	0.0592
ATM_exon54	20	1.0749	0.0586	1.0725	0.996	1.1914	1.0725	0.0586
ATM_exon55	20	0.9768	0.0552	0.9547	0.92	1.1426	0.9547	0.0552
ATM_exon56	20	1.1495	0.0486	1.1415	1.082	1.3048	1.1415	0.0486
ATM_exon57	20	1.527	0.0899	1.5332	1.3937	1.8211	1.5332	0.0899
ATM_exon58	20	1.2885	0.0804	1.2723	1.1901	1.5635	1.2723	0.0804
ATM_exon59	20	1.1365	0.0747	1.1255	1.0167	1.3858	1.1255	0.0747
ATM_exon6	20	1.1076	0.075	1.0898	1.0328	1.3476	1.0898	0.075
ATM_exon60	20	1.269	0.0738	1.2619	1.1695	1.5087	1.2619	0.0738
ATM_exon7	20	0.9972	0.0649	0.9866	0.9285	1.1932	0.9866	0.0649
ATM_exon8	20	1.2584	0.0632	1.2494	1.1869	1.4739	1.2494	0.0632
ATM_exon9	20	1.0967	0.0647	1.0851	1.0266	1.3174	1.0851	0.0647
ATR_exon1	20	1.1731	0.0551	1.1631	1.089	1.3616	1.1631	0.0551
ATR_exon10	20	0.9284	0.0348	0.9234	0.8864	1.0359	0.9234	0.0348
ATR_exon11	20	1.0689	0.0535	1.0645	1.002	1.2377	1.0645	0.0535
ATR_exon12	20	1.1648	0.0646	1.1451	1.0497	1.3373	1.1451	0.0646
ATR_exon13	20	0.8489	0.0439	0.8416	0.7787	0.9474	0.8416	0.0439
ATR_exon14	20	0.7676	0.0286	0.766	0.7214	0.8416	0.766	0.0286
ATR_exon15	20	0.7349	0.0969	0.7157	0.5989	0.9891	0.7157	0.0969
ATR_exon16	20	0.8923	0.0401	0.8902	0.8295	1.0179	0.8902	0.0401
ATR_exon17	20	0.7832	0.0441	0.7715	0.7349	0.9283	0.7715	0.0441
ATR_exon18	20	0.9878	0.0495	0.9896	0.8416	1.0855	0.9896	0.0495
ATR_exon19	20	0.821	0.0485	0.8204	0.7497	0.9646	0.8204	0.0485
ATR_exon2	20	1.067	0.0547	1.0631	0.9777	1.2221	1.0631	0.0547
ATR_exon20	20	0.8123	0.0498	0.8038	0.7331	0.9336	0.8038	0.0498
ATR_exon21	20	0.9058	0.0386	0.9001	0.8577	1.0194	0.9001	0.0386
ATR_exon22	20	0.9974	0.0626	0.991	0.8869	1.2057	0.991	0.0626
ATR_exon23	20	1.1763	0.0794	1.1947	1.0173	1.3049	1.1947	0.0794
ATR_exon24	20	0.9295	0.0563	0.9265	0.8583	1.1222	0.9265	0.0563
ATR_exon25	20	1.0714	0.0612	1.0595	0.9683	1.2819	1.0595	0.0612
ATR_exon26	20	0.6773	0.0356	0.6771	0.6194	0.7662	0.6771	0.0356
ATR_exon27	20	1.0013	0.0503	0.9959	0.9373	1.1739	0.9959	0.0503
ATR_exon28	20	0.7182	0.0449	0.7094	0.6526	0.8689	0.7094	0.0449
ATR_exon29	20	0.8675	0.0713	0.8499	0.7675	1.0215	0.8499	0.0713
ATR_exon3	20	1.171	0.0593	1.157	1.1014	1.3978	1.157	0.0593
ATR_exon30	20	0.9628	0.0502	0.9529	0.8806	1.102	0.9529	0.0502
ATR_exon31	20	1.0392	0.0509	1.0291	0.9765	1.2205	1.0291	0.0509
ATR_exon32	20	0.9355	0.0533	0.9358	0.8495	1.0886	0.9358	0.0533
ATR_exon33	20	0.926	0.0417	0.9124	0.8834	1.0648	0.9124	0.0417
ATR_exon34	20	0.9133	0.0449	0.9037	0.8713	1.0707	0.9037	0.0449
ATR_exon35	20	1.1378	0.0541	1.1313	1.0616	1.3176	1.1313	0.0541
ATR_exon36	20	1.3393	0.0716	1.3245	1.2372	1.5522	1.3245	0.0716
ATR_exon37	20	1.228	0.0633	1.2288	1.1384	1.4549	1.2288	0.0633
ATR_exon38	20	1.193	0.062	1.1839	1.1177	1.3693	1.1839	0.062
ATR_exon39	20	1.0857	0.0468	1.0747	1.0149	1.2164	1.0747	0.0468
ATR_exon4	20	0.8619	0.0392	0.8607	0.8096	0.9929	0.8607	0.0392
ATR_exon40	20	1.0558	0.0577	1.0583	0.9634	1.2026	1.0583	0.0577
ATR_exon41	20	1.0885	0.0637	1.0811	0.977	1.2696	1.0811	0.0637
ATR_exon42	20	1.0623	0.0422	1.0614	0.9713	1.1755	1.0614	0.0422
ATR_exon43	20	0.9462	0.0472	0.9437	0.8728	1.0399	0.9437	0.0472
ATR_exon44	20	1.3682	0.0686	1.3605	1.2686	1.6023	1.3605	0.0686
ATR_exon45	20	0.9891	0.0478	0.9789	0.9112	1.1248	0.9789	0.0478
ATR_exon46	20	0.829	0.0498	0.8256	0.7501	0.9408	0.8256	0.0498
ATR_exon47	20	0.9264	0.0525	0.9301	0.8309	1.0153	0.9301	0.0525
ATR_exon5	20	1.1972	0.0508	1.2009	1.1263	1.3433	1.2009	0.0508
ATR_exon6	20	1.1712	0.0603	1.1537	1.0922	1.3449	1.1537	0.0603
ATR_exon7	20	0.9871	0.0441	0.9813	0.9333	1.1417	0.9813	0.0441
ATR_exon8	20	0.8017	0.0712	0.7935	0.7048	0.9649	0.7935	0.0712
ATR_exon9	20	0.9152	0.0405	0.9137	0.8557	1.0159	0.9137	0.0405
BAX_exon1	20	0.2926	0.0332	0.286	0.2323	0.391	0.286	0.0332
BAX_exon2	20	1.2238	0.0558	1.2253	1.1344	1.4055	1.2253	0.0558
BAX_exon3	20	1.1992	0.0748	1.1803	1.0997	1.4439	1.1803	0.0748
BAX_exon4	20	0.4549	0.037	0.4482	0.4074	0.531	0.4482	0.037
BAX_exon5	20	0.8944	0.0508	0.8853	0.8037	1.0481	0.8853	0.0508
BAX_exon6	20	1.2699	0.0579	1.2583	1.1416	1.4224	1.2583	0.0579
BAX_exon7	20	0.9001	0.0421	0.8985	0.8175	0.9983	0.8985	0.0421
