name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
ATM_exon1	11	1.4006	0.1301	1.4598	1.2099	1.5588	1.4598	0.1301
ATM_exon10	11	1.2793	0.1971	1.2899	1.0012	1.6938	1.2899	0.1971
ATM_exon11	11	1.2321	0.0841	1.2433	1.0516	1.3526	1.2433	0.0841
ATM_exon12	11	0.9155	0.0609	0.913	0.8457	1.0052	0.913	0.0609
ATM_exon13	11	1.2489	0.1248	1.1908	1.0824	1.4615	1.1908	0.1248
ATM_exon14	11	1.2311	0.175	1.2565	0.9577	1.4365	1.2565	0.175
ATM_exon15	11	1.2402	0.0509	1.2195	1.1838	1.3246	1.2195	0.0509
ATM_exon16	11	1.1515	0.0718	1.1278	1.076	1.3221	1.1278	0.0718
ATM_exon17	11	1.0205	0.0886	1.0291	0.8873	1.2058	1.0291	0.0886
ATM_exon18	11	1.2922	0.0933	1.2946	1.1109	1.453	1.2946	0.0933
ATM_exon19	11	1.2533	0.1698	1.3097	1.0318	1.4491	1.3097	0.1698
ATM_exon2	11	1.1928	0.1067	1.196	1.0468	1.455	1.196	0.1067
ATM_exon20	11	1.3314	0.1202	1.3264	1.1738	1.5357	1.3264	0.1202
ATM_exon21	11	1.2567	0.1567	1.2687	0.9828	1.5012	1.2687	0.1567
ATM_exon22	11	1.0161	0.1367	0.9904	0.8064	1.2168	0.9904	0.1367
ATM_exon23	11	1.2175	0.2241	1.2959	0.9091	1.6449	1.2959	0.2241
ATM_exon24	11	1.094	0.0498	1.1038	0.9861	1.1542	1.1038	0.0498
ATM_exon25	11	1.1335	0.0863	1.1251	0.9517	1.2614	1.1251	0.0863
ATM_exon26	11	1.1721	0.2099	1.2045	0.8011	1.4509	1.2045	0.2099
ATM_exon27	11	1.1604	0.1427	1.1161	0.9263	1.3628	1.1161	0.1427
ATM_exon28	11	1.1881	0.0869	1.1791	0.9985	1.3278	1.1791	0.0869
ATM_exon29	11	1.1782	0.1723	1.2558	0.9417	1.4042	1.2558	0.1723
ATM_exon3	11	1.4176	0.0991	1.4285	1.2986	1.6399	1.4285	0.0991
ATM_exon30	11	1.2321	0.1515	1.2069	0.944	1.4732	1.2069	0.1515
ATM_exon31	11	1.1938	0.0991	1.1674	1.0663	1.3802	1.1674	0.0991
ATM_exon32	11	1.2186	0.0869	1.2009	1.1044	1.3708	1.2009	0.0869
ATM_exon33	11	1.2365	0.1506	1.2176	1.032	1.5207	1.2176	0.1506
ATM_exon34	11	1.2792	0.1952	1.3455	0.93	1.6185	1.3455	0.1952
ATM_exon35	11	1.1316	0.124	1.1756	0.9326	1.2931	1.1756	0.124
ATM_exon36	11	1.1273	0.0891	1.1305	0.9815	1.2625	1.1305	0.0891
ATM_exon37	11	1.1621	0.1383	1.1548	0.9679	1.4903	1.1548	0.1383
ATM_exon38	11	1.2245	0.1434	1.2382	0.9828	1.4396	1.2382	0.1434
ATM_exon39	11	1.2707	0.0677	1.2705	1.1264	1.4009	1.2705	0.0677
ATM_exon4	11	1.191	0.1631	1.1217	0.9119	1.4388	1.1217	0.1631
ATM_exon40	11	0.977	0.0601	0.9721	0.8746	1.104	0.9721	0.0601
ATM_exon41	11	1.0397	0.1365	1.0151	0.8848	1.2795	1.0151	0.1365
ATM_exon42	11	0.7688	0.0533	0.7715	0.6938	0.8579	0.7715	0.0533
ATM_exon43	11	1.0758	0.1129	1.0846	0.7813	1.1851	1.0846	0.1129
ATM_exon44	11	0.9534	0.0558	0.9508	0.8791	1.0712	0.9508	0.0558
ATM_exon45	11	1.3212	0.091	1.2989	1.2119	1.4813	1.2989	0.091
ATM_exon46	11	1.2688	0.0848	1.2755	1.1558	1.4552	1.2755	0.0848
ATM_exon47	11	1.1496	0.1116	1.1308	1.0173	1.3825	1.1308	0.1116
ATM_exon48	11	1.1114	0.0891	1.1267	0.9582	1.2302	1.1267	0.0891
ATM_exon49	11	1.1952	0.0897	1.2255	1.0354	1.3294	1.2255	0.0897
ATM_exon5	11	1.2271	0.1276	1.2587	1.0338	1.4009	1.2587	0.1276
ATM_exon50	11	1.2949	0.0776	1.2688	1.1543	1.4109	1.2688	0.0776
ATM_exon51	11	1.2172	0.1227	1.194	0.9933	1.3924	1.194	0.1227
ATM_exon52	11	1.2734	0.1271	1.3341	1.0504	1.4312	1.3341	0.1271
ATM_exon53	11	1.085	0.0594	1.0967	0.9653	1.1545	1.0967	0.0594
ATM_exon54	11	1.2264	0.0748	1.2549	1.0948	1.3131	1.2549	0.0748
ATM_exon55	11	1.1751	0.1204	1.1592	1.0015	1.3613	1.1592	0.1204
ATM_exon56	11	1.2368	0.1819	1.2735	0.9538	1.4612	1.2735	0.1819
ATM_exon57	11	1.3037	0.0679	1.3301	1.1952	1.3898	1.3301	0.0679
ATM_exon58	11	1.4248	0.0632	1.4038	1.3402	1.5196	1.4038	0.0632
ATM_exon59	11	1.1346	0.0948	1.1068	1.0298	1.3305	1.1068	0.0948
ATM_exon6	11	1.2804	0.085	1.2786	1.1372	1.4054	1.2786	0.085
ATM_exon60	11	1.3539	0.0794	1.3485	1.257	1.4869	1.3485	0.0794
ATM_exon7	11	1.0879	0.0776	1.1062	0.9821	1.2291	1.1062	0.0776
ATM_exon8	11	1.1559	0.0492	1.1604	1.0767	1.2212	1.1604	0.0492
ATM_exon9	11	1.2762	0.1088	1.2724	1.0319	1.4332	1.2724	0.1088
ATR_exon1	11	1.2003	0.0894	1.1667	1.0997	1.3635	1.1667	0.0894
ATR_exon10	11	1.1922	0.0864	1.1935	1.0497	1.3562	1.1935	0.0864
ATR_exon11	11	1.2789	0.1039	1.2856	1.1117	1.4499	1.2856	0.1039
ATR_exon12	11	1.3074	0.1623	1.2692	1.0372	1.5264	1.2692	0.1623
ATR_exon13	11	0.8746	0.0595	0.8945	0.7848	0.977	0.8945	0.0595
ATR_exon14	11	0.9964	0.0643	0.9801	0.9026	1.1088	0.9801	0.0643
ATR_exon15	11	0.934	0.1237	0.9226	0.7456	1.1792	0.9226	0.1237
ATR_exon16	11	1.0599	0.0675	1.0729	0.9425	1.1946	1.0729	0.0675
ATR_exon17	11	0.8356	0.0742	0.846	0.7193	0.936	0.846	0.0742
ATR_exon18	11	1.1285	0.1421	1.1293	0.9773	1.4625	1.1293	0.1421
ATR_exon19	11	1.1859	0.1467	1.1835	0.992	1.4129	1.1835	0.1467
ATR_exon2	11	1.438	0.1873	1.3733	1.2294	1.6816	1.3733	0.1873
ATR_exon20	11	0.9734	0.0502	0.9671	0.9095	1.0696	0.9671	0.0502
ATR_exon21	11	0.9259	0.038	0.9218	0.8662	0.9963	0.9218	0.038
ATR_exon22	11	1.1008	0.1442	1.0489	0.9212	1.3267	1.0489	0.1442
ATR_exon23	11	1.3103	0.0988	1.2959	1.1287	1.4627	1.2959	0.0988
ATR_exon24	11	1.1082	0.1022	1.1046	0.8983	1.2748	1.1046	0.1022
ATR_exon25	11	1.1267	0.1133	1.1202	0.8729	1.3166	1.1202	0.1133
ATR_exon26	11	0.9266	0.0463	0.9318	0.8507	1.0063	0.9318	0.0463
ATR_exon27	11	1.1781	0.0914	1.16	1.0906	1.39	1.16	0.0914
ATR_exon28	11	0.9526	0.1182	0.9822	0.6556	1.1122	0.9822	0.1182
ATR_exon29	11	1.0419	0.1459	1.0313	0.8323	1.237	1.0313	0.1459
ATR_exon3	11	1.3757	0.129	1.3667	1.2396	1.6906	1.3667	0.129
ATR_exon30	11	0.927	0.1626	0.9245	0.5607	1.0928	0.9245	0.1626
ATR_exon31	11	1.2249	0.1471	1.2625	0.8397	1.365	1.2625	0.1471
ATR_exon32	11	1.1667	0.1562	1.1852	0.9347	1.424	1.1852	0.1562
ATR_exon33	11	1.1781	0.095	1.1947	0.9681	1.2937	1.1947	0.095
ATR_exon34	11	1.0956	0.0906	1.1376	0.9612	1.2009	1.1376	0.0906
ATR_exon35	11	1.3776	0.0596	1.3859	1.2858	1.4527	1.3859	0.0596
ATR_exon36	11	1.3625	0.0685	1.3482	1.2551	1.513	1.3482	0.0685
ATR_exon37	11	1.4058	0.1428	1.3774	1.2262	1.6817	1.3774	0.1428
ATR_exon38	11	1.3785	0.0988	1.3869	1.1765	1.5292	1.3869	0.0988
ATR_exon39	11	1.2622	0.0732	1.2655	1.1426	1.4123000000000001	1.2655	0.0732
ATR_exon4	11	1.115	0.1251	1.1508	0.7937	1.2888	1.1508	0.1251
ATR_exon40	11	1.3724	0.1215	1.3471	1.2164	1.5348	1.3471	0.1215
ATR_exon41	11	1.2629	0.1513	1.1964	1.0875	1.5716	1.1964	0.1513
ATR_exon42	11	1.2862	0.073	1.2942	1.1421	1.4151	1.2942	0.073
ATR_exon43	11	1.0391	0.0835	1.0367	0.9228	1.1816	1.0367	0.0835
ATR_exon44	11	1.3822	0.0958	1.3871	1.2257	1.5209	1.3871	0.0958
ATR_exon45	11	0.9255	0.0572	0.9336	0.8252	1.0098	0.9336	0.0572
ATR_exon46	11	1.1342	0.1891	1.2199	0.8843	1.3387	1.2199	0.1891
ATR_exon47	11	0.6028	0.1298	0.5845	0.437	0.8134	0.5845	0.1298
ATR_exon5	11	1.224	0.1238	1.2789	0.9386	1.3401	1.2789	0.1238
ATR_exon6	11	1.1959	0.1093	1.1973	0.9428	1.3955	1.1973	0.1093
ATR_exon7	11	1.2438	0.1369	1.2179	1.0595	1.4386	1.2179	0.1369
ATR_exon8	11	1.0449	0.119	1.0347	0.9063	1.198	1.0347	0.119
ATR_exon9	11	0.9001	0.0764	0.8868	0.7982	1.0554	0.8868	0.0764
BAX_exon1	11	0.1203	0.0426	0.1072	0.0742	0.1861	0.1072	0.0426
BAX_exon2	11	1.0461	0.1271	1.0491	0.8424	1.2486	1.0491	0.1271
BAX_exon3	11	0.8922	0.0996	0.8966	0.7171	1.045	0.8966	0.0996
BAX_exon4	11	0.5889	0.0908	0.5833	0.4208	0.7159	0.5833	0.0908
BAX_exon5	11	0.366	0.0875	0.368	0.2516	0.4936	0.368	0.0875
BAX_exon6	11	1.1412	0.1399	1.1399	0.9561	1.3913	1.1399	0.1399
BAX_exon7	11	0.6599	0.0545	0.671	0.575	0.7356	0.671	0.0545
BCL7A_exon1	11	0.1061	0.0348	0.1015	0.056	0.1811	0.1015	0.0348
BCL7A_exon2	11	0.6998	0.1337	0.7181	0.5071	0.8783	0.7181	0.1337
BCL7A_exon3	11	1.1897	0.1693	1.1704	0.9704	1.4334	1.1704	0.1693
BCL7A_exon4	11	0.71	0.1374	0.6535	0.5454	0.9405	0.6535	0.1374
BCL7A_exon5	11	0.99	0.1284	0.9822	0.826	1.2377	0.9822	0.1284
